 Численность городского населения по полу и возрасту на 1 января текущего года 1) , человек, Город Киров, на 1 января, Городские округа Кировской области, Городской округ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Всего;;;;;;;;;;;;Женщины;;;;;;;;;;;;Мужчины;;;;;;;;;;;;
;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
0;5468;5971;6066;6335;6959;6924;5927;5666;5086;4669;4834;4188;2637;2924;2940;3125;3389;3382;2873;2784;2472;2273;2374;2040;2831;3047;3126;3210;3570;3542;3054;2882;2614;2396;2460;2148;
1;5565;5553;5990;6131;6370;7025;7049;6017;5755;5127;4485;4897;2658;2688;2938;2968;3155;3435;3442;2913;2817;2487;2187;2408;2907;2865;3052;3163;3215;3590;3607;3104;2938;2640;2298;2489;
2;5502;5652;5591;6079;6200;6436;7134;7206;6142;5833;4997;4565;2693;2703;2709;2989;3006;3166;3479;3525;2985;2848;2422;2224;2809;2949;2882;3090;3194;3270;3655;3681;3157;2985;2575;2341;
3;5212;5532;5698;5678;6160;6274;6509;7239;7284;6295;5768;5090;2512;2728;2720;2762;3051;3040;3205;3527;3562;3060;2804;2463;2700;2804;2978;2916;3109;3234;3304;3712;3722;3235;2964;2627;
4;4882;5249;5548;5783;5742;6228;6328;6596;7321;7396;6299;5807;2380;2528;2729;2769;2776;3071;3066;3252;3563;3616;3080;2826;2502;2721;2819;3014;2966;3157;3262;3344;3758;3780;3219;2981;
5;4483;4902;5297;5628;5847;5790;6353;6430;6693;7420;7138;6355;2158;2404;2564;2765;2793;2801;3109;3112;3309;3602;3506;3115;2325;2498;2733;2863;3054;2989;3244;3318;3384;3818;3632;3240;
6;4342;4537;4963;5389;5694;5950;5931;6505;6594;6822;7345;7216;2148;2180;2431;2620;2791;2863;2870;3164;3190;3385;3634;3543;2194;2357;2532;2769;2903;3087;3061;3341;3404;3437;3711;3673;
7;4502;4411;4653;5115;5539;5810;6095;6110;6657;6752;6124;7488;2176;2181;2252;2504;2693;2858;2923;2959;3236;3277;2982;3704;2326;2230;2401;2611;2846;2952;3172;3151;3421;3475;3142;3784;
8;4239;4535;4454;4688;5124;5545;5883;6165;6177;6717;5975;6179;2086;2196;2204;2261;2502;2681;2881;2947;3002;3253;2882;3008;2153;2339;2250;2427;2622;2864;3002;3218;3175;3464;3093;3171;
9;4272;4271;4558;4499;4721;5172;5587;5952;6220;6223;5883;6012;2125;2098;2204;2226;2287;2519;2714;2914;2966;3027;2883;2888;2147;2173;2354;2273;2434;2653;2873;3038;3254;3196;3000;3124;
10;3806;4308;4294;4608;4509;4738;5216;5651;5988;6243;5324;5907;1812;2141;2107;2226;2223;2288;2543;2740;2924;2970;2514;2900;1994;2167;2187;2382;2286;2450;2673;2911;3064;3273;2810;3007;
11;3628;3819;4328;4323;4651;4547;4784;5305;5734;6052;5476;5358;1839;1822;2144;2125;2259;2239;2303;2581;2772;2963;2660;2540;1789;1997;2184;2198;2392;2308;2481;2724;2962;3089;2816;2818;
12;3435;3660;3833;4343;4336;4694;4602;4822;5343;5774;5077;5492;1676;1851;1832;2155;2124;2286;2273;2327;2599;2800;2483;2673;1759;1809;2001;2188;2212;2408;2329;2495;2744;2974;2594;2819;
13;3556;3460;3677;3849;4357;4376;4732;4650;4872;5388;4701;5110;1763;1690;1854;1844;2154;2140;2303;2299;2348;2637;2304;2499;1793;1770;1823;2005;2203;2236;2429;2351;2524;2751;2397;2611;
14;3343;3558;3469;3723;3846;4379;4420;4796;4687;4926;4363;4724;1644;1757;1696;1894;1836;2180;2167;2335;2332;2374;2096;2324;1699;1801;1773;1829;2010;2199;2253;2461;2355;2552;2267;2400;
15;3597;3397;3620;3555;3782;3918;4462;4503;4902;4764;4447;4456;1790;1679;1781;1733;1913;1875;2218;2207;2382;2357;2125;2148;1807;1718;1839;1822;1869;2043;2244;2296;2520;2407;2322;2308;
16;4149;3975;3801;4103;4065;4295;4455;5092;5221;5427;5089;5140;2018;1957;1909;2054;1983;2159;2128;2511;2540;2618;2508;2480;2131;2018;1892;2049;2082;2136;2327;2581;2681;2809;2581;2660;
17;4929;4403;4303;4145;4430;4275;4557;4766;5375;5436;4917;5393;2386;2181;2205;2116;2233;2104;2289;2295;2647;2655;2466;2663;2543;2222;2098;2029;2197;2171;2268;2471;2728;2781;2451;2730;
